aircraft,system,cycle,value,source
DEMO-001,brakes,34,4.745,synthetic-v1
DEMO-001,brakes,35,4.942,synthetic-v1
DEMO-001,brakes,36,5.1,synthetic-v1
DEMO-001,brakes,37,5.205,synthetic-v1
DEMO-001,brakes,38,5.271,synthetic-v1
DEMO-001,brakes,39,5.33,synthetic-v1
DEMO-001,brakes,40,5.417,synthetic-v1
DEMO-001,brakes,41,5.553,synthetic-v1
DEMO-001,brakes,42,5.737,synthetic-v1
DEMO-001,brakes,43,5.944,synthetic-v1
DEMO-001,brakes,44,6.137,synthetic-v1
DEMO-001,brakes,45,6.287,synthetic-v1
DEMO-001,brakes,46,6.385,synthetic-v1
DEMO-001,brakes,47,6.448,synthetic-v1
DEMO-001,brakes,48,6.509,synthetic-v1
DEMO-001,brakes,49,6.602,synthetic-v1
DEMO-001,brakes,50,6.746,synthetic-v1
DEMO-001,brakes,51,6.936,synthetic-v1
DEMO-001,brakes,52,7.143,synthetic-v1
DEMO-001,brakes,53,7.331,synthetic-v1
DEMO-001,brakes,54,7.473,synthetic-v1
DEMO-001,brakes,55,7.565,synthetic-v1
DEMO-001,brakes,56,7.624,synthetic-v1
DEMO-001,brakes,57,7.688,synthetic-v1
DEMO-001,brakes,58,7.788,synthetic-v1
DEMO-001,brakes,59,7.941,synthetic-v1
DEMO-001,brakes,60,8.135,synthetic-v1
DEMO-001,hydraulic,1,2.979,synthetic-v1
DEMO-001,hydraulic,2,2.983,synthetic-v1
DEMO-001,hydraulic,3,2.991,synthetic-v1
DEMO-001,hydraulic,4,3.014,synthetic-v1
DEMO-001,hydraulic,5,3.054,synthetic-v1
DEMO-001,hydraulic,6,3.106,synthetic-v1
DEMO-001,hydraulic,7,3.158,synthetic-v1
DEMO-001,hydraulic,8,3.199,synthetic-v1
DEMO-001,hydraulic,9,3.223,synthetic-v1
DEMO-001,hydraulic,10,3.231,synthetic-v1
DEMO-001,hydraulic,11,3.235,synthetic-v1
DEMO-001,hydraulic,12,3.245,synthetic-v1
DEMO-001,hydraulic,13,3.27,synthetic-v1
DEMO-001,hydraulic,14,3.312,synthetic-v1
DEMO-001,hydraulic,15,3.365,synthetic-v1
DEMO-001,hydraulic,16,3.416,synthetic-v1
DEMO-001,hydraulic,17,3.455,synthetic-v1
DEMO-001,hydraulic,18,3.476,synthetic-v1
DEMO-001,hydraulic,19,3.483,synthetic-v1
DEMO-001,hydraulic,20,3.487,synthetic-v1
DEMO-001,hydraulic,21,3.499,synthetic-v1
DEMO-001,hydraulic,22,3.527,synthetic-v1
DEMO-001,hydraulic,23,3.571,synthetic-v1
DEMO-001,hydraulic,24,3.624,synthetic-v1
DEMO-001,hydraulic,25,3.674,synthetic-v1
DEMO-001,hydraulic,26,3.71,synthetic-v1
DEMO-001,hydraulic,27,3.729,synthetic-v1
DEMO-001,hydraulic,28,3.735,synthetic-v1
DEMO-001,hydraulic,29,3.739,synthetic-v1
DEMO-001,hydraulic,30,3.753,synthetic-v1
DEMO-001,hydraulic,31,3.784,synthetic-v1
DEMO-001,hydraulic,32,3.83,synthetic-v1
DEMO-001,hydraulic,33,3.884,synthetic-v1
DEMO-001,hydraulic,34,3.932,synthetic-v1
DEMO-001,hydraulic,35,3.966,synthetic-v1
DEMO-001,hydraulic,36,3.982,synthetic-v1
DEMO-001,hydraulic,37,3.987,synthetic-v1
DEMO-001,hydraulic,38,3.992,synthetic-v1
DEMO-001,hydraulic,39,4.008,synthetic-v1
DEMO-001,hydraulic,40,4.041,synthetic-v1
DEMO-001,hydraulic,41,4.09,synthetic-v1
DEMO-001,hydraulic,42,4.143,synthetic-v1
DEMO-001,hydraulic,43,4.19,synthetic-v1
DEMO-001,hydraulic,44,4.22,synthetic-v1
DEMO-001,hydraulic,45,4.235,synthetic-v1
DEMO-001,hydraulic,46,4.239,synthetic-v1
DEMO-001,hydraulic,47,4.245,synthetic-v1
DEMO-001,hydraulic,48,4.263,synthetic-v1
DEMO-001,hydraulic,49,4.299,synthetic-v1
DEMO-001,hydraulic,50,4.349,synthetic-v1
DEMO-001,hydraulic,51,4.402,synthetic-v1
DEMO-001,hydraulic,52,4.447,synthetic-v1
DEMO-001,hydraulic,53,4.475,synthetic-v1
DEMO-001,hydraulic,54,4.487,synthetic-v1
DEMO-001,hydraulic,55,4.491,synthetic-v1
DEMO-001,hydraulic,56,4.498,synthetic-v1
DEMO-001,hydraulic,57,4.519,synthetic-v1
DEMO-001,hydraulic,58,4.557,synthetic-v1
DEMO-001,hydraulic,59,4.608,synthetic-v1
DEMO-001,hydraulic,60,4.661,synthetic-v1
DEMO-001,pack,1,0.0,synthetic-v1
DEMO-001,pack,2,0.0,synthetic-v1
DEMO-001,pack,3,0.0,synthetic-v1
DEMO-001,pack,4,0.0,synthetic-v1
DEMO-001,pack,5,0.0,synthetic-v1
DEMO-001,pack,6,0.0,synthetic-v1
DEMO-001,pack,7,0.0,synthetic-v1
DEMO-001,pack,8,0.0,synthetic-v1
DEMO-001,pack,9,0.0,synthetic-v1
DEMO-001,pack,10,0.0,synthetic-v1
DEMO-001,pack,11,0.0,synthetic-v1
DEMO-001,pack,12,0.0,synthetic-v1
DEMO-001,pack,13,0.0,synthetic-v1
DEMO-001,pack,14,0.0,synthetic-v1
DEMO-001,pack,15,0.0,synthetic-v1
DEMO-001,pack,16,0.0,synthetic-v1
DEMO-001,pack,17,0.0,synthetic-v1
DEMO-001,pack,18,0.0,synthetic-v1
DEMO-001,pack,19,0.0,synthetic-v1
DEMO-001,pack,20,0.0,synthetic-v1
DEMO-001,pack,21,0.0,synthetic-v1
DEMO-001,pack,22,0.0,synthetic-v1
DEMO-001,pack,23,0.0,synthetic-v1
DEMO-001,pack,24,0.059,synthetic-v1
DEMO-001,pack,25,0.21,synthetic-v1
DEMO-001,pack,26,0.319,synthetic-v1
DEMO-001,pack,27,0.39,synthetic-v1
DEMO-001,pack,28,0.443,synthetic-v1
DEMO-001,pack,29,0.511,synthetic-v1
DEMO-001,pack,30,0.616,synthetic-v1
DEMO-001,pack,31,0.764,synthetic-v1
DEMO-001,pack,32,0.94,synthetic-v1
DEMO-001,pack,33,1.115,synthetic-v1
DEMO-001,pack,34,1.26,synthetic-v1
DEMO-001,pack,35,1.363,synthetic-v1
DEMO-001,pack,36,1.429,synthetic-v1
DEMO-001,pack,37,1.483,synthetic-v1
DEMO-001,pack,38,1.555,synthetic-v1
DEMO-001,pack,39,1.667,synthetic-v1
DEMO-001,pack,40,1.821,synthetic-v1
DEMO-001,pack,41,1.998,synthetic-v1
DEMO-001,pack,42,2.17,synthetic-v1
DEMO-001,pack,43,2.309,synthetic-v1
DEMO-001,pack,44,2.406,synthetic-v1
DEMO-001,pack,45,2.468,synthetic-v1
DEMO-001,pack,46,2.523,synthetic-v1
DEMO-001,pack,47,2.6,synthetic-v1
DEMO-001,pack,48,2.719,synthetic-v1
DEMO-001,pack,49,2.877,synthetic-v1
DEMO-001,pack,50,3.056,synthetic-v1
DEMO-001,pack,51,3.224,synthetic-v1
DEMO-001,pack,52,3.358,synthetic-v1
DEMO-001,pack,53,3.448,synthetic-v1
DEMO-001,pack,54,3.507,synthetic-v1
DEMO-001,pack,55,3.564,synthetic-v1
DEMO-001,pack,56,3.646,synthetic-v1
DEMO-001,pack,57,3.771,synthetic-v1
DEMO-001,pack,58,3.935,synthetic-v1
DEMO-001,pack,59,4.114,synthetic-v1
DEMO-001,pack,60,4.278,synthetic-v1
DEMO-001,actuator,1,231.017,synthetic-v1
DEMO-001,actuator,2,231.921,synthetic-v1
DEMO-001,actuator,3,233.895,synthetic-v1
DEMO-001,actuator,4,236.997,synthetic-v1
DEMO-001,actuator,5,240.737,synthetic-v1
DEMO-001,actuator,6,244.321,synthetic-v1
DEMO-001,actuator,7,247.027,synthetic-v1
DEMO-001,actuator,8,248.559,synthetic-v1
DEMO-001,actuator,9,249.188,synthetic-v1
DEMO-001,actuator,10,249.62,synthetic-v1
DEMO-001,actuator,11,250.66,synthetic-v1
DEMO-001,actuator,12,252.814,synthetic-v1
DEMO-001,actuator,13,256.054,synthetic-v1
DEMO-001,actuator,14,259.825,synthetic-v1
DEMO-001,actuator,15,263.315,synthetic-v1
DEMO-001,actuator,16,265.85,synthetic-v1
DEMO-001,actuator,17,267.215,synthetic-v1
DEMO-001,actuator,18,267.762,synthetic-v1
DEMO-001,actuator,19,268.238,synthetic-v1
DEMO-001,actuator,20,269.424,synthetic-v1
DEMO-001,actuator,21,271.758,synthetic-v1
DEMO-001,actuator,22,275.124,synthetic-v1
DEMO-001,actuator,23,278.905,synthetic-v1
DEMO-001,actuator,24,282.287,synthetic-v1
DEMO-001,actuator,25,284.646,synthetic-v1
DEMO-001,actuator,26,285.852,synthetic-v1
DEMO-001,actuator,27,286.335,synthetic-v1
DEMO-001,actuator,28,286.873,synthetic-v1
DEMO-001,actuator,29,288.216,synthetic-v1
DEMO-001,actuator,30,290.727,synthetic-v1
DEMO-001,actuator,31,294.203,synthetic-v1
DEMO-001,actuator,32,297.977,synthetic-v1
DEMO-001,actuator,33,301.235,synthetic-v1
DEMO-001,actuator,34,303.414,synthetic-v1
DEMO-001,actuator,35,304.472,synthetic-v1
DEMO-001,actuator,36,304.91,synthetic-v1
DEMO-001,actuator,37,305.526,synthetic-v1
DEMO-001,actuator,38,307.035,synthetic-v1
DEMO-001,actuator,39,309.718,synthetic-v1
DEMO-001,actuator,40,313.29,synthetic-v1
DEMO-001,actuator,41,317.036,synthetic-v1
DEMO-001,actuator,42,320.157,synthetic-v1
DEMO-001,actuator,43,322.156,synthetic-v1
DEMO-001,actuator,44,323.078,synthetic-v1
DEMO-001,actuator,45,323.488,synthetic-v1
DEMO-001,actuator,46,324.201,synthetic-v1
DEMO-001,actuator,47,325.882,synthetic-v1
DEMO-001,actuator,48,328.73,synthetic-v1
DEMO-001,actuator,49,332.381,synthetic-v1
DEMO-001,actuator,50,336.08,synthetic-v1
DEMO-001,actuator,51,339.053,synthetic-v1
DEMO-001,actuator,52,340.872,synthetic-v1
DEMO-001,actuator,53,341.671,synthetic-v1
DEMO-001,actuator,54,342.074,synthetic-v1
DEMO-001,actuator,55,342.898,synthetic-v1
DEMO-001,actuator,56,344.756,synthetic-v1
DEMO-001,actuator,57,347.762,synthetic-v1
DEMO-001,actuator,58,351.473,synthetic-v1
DEMO-001,actuator,59,355.108,synthetic-v1
DEMO-001,actuator,60,357.921,synthetic-v1
DEMO-002,apu,1,28.959,synthetic-v1
DEMO-002,apu,2,29.061,synthetic-v1
DEMO-002,apu,3,29.125,synthetic-v1
DEMO-002,apu,4,29.244,synthetic-v1
DEMO-002,apu,5,29.48,synthetic-v1
DEMO-002,apu,6,29.842,synthetic-v1
DEMO-002,apu,7,30.276,synthetic-v1
DEMO-002,apu,8,30.695,synthetic-v1
DEMO-002,apu,9,31.018,synthetic-v1
DEMO-002,apu,10,31.21,synthetic-v1
DEMO-002,apu,11,31.301,synthetic-v1
DEMO-002,apu,12,31.368,synthetic-v1
DEMO-002,apu,13,31.501,synthetic-v1
DEMO-002,apu,14,31.757,synthetic-v1
DEMO-002,apu,15,32.135,synthetic-v1
DEMO-002,apu,16,32.573,synthetic-v1
DEMO-002,apu,17,32.982,synthetic-v1
DEMO-002,apu,18,33.285,synthetic-v1
DEMO-002,apu,19,33.459,synthetic-v1
DEMO-002,apu,20,33.54,synthetic-v1
DEMO-002,apu,21,33.612,synthetic-v1
DEMO-002,apu,22,33.761,synthetic-v1
DEMO-002,apu,23,34.037,synthetic-v1
DEMO-002,apu,24,34.429,synthetic-v1
DEMO-002,apu,25,34.869,synthetic-v1
DEMO-002,apu,26,35.265,synthetic-v1
DEMO-002,apu,27,35.549,synthetic-v1
DEMO-002,apu,28,35.705,synthetic-v1
DEMO-002,apu,29,35.779,synthetic-v1
DEMO-002,apu,30,35.857,synthetic-v1
DEMO-002,apu,31,36.024,synthetic-v1
DEMO-002,apu,32,36.32,synthetic-v1
DEMO-002,apu,33,36.724,synthetic-v1
DEMO-002,apu,34,37.163,synthetic-v1
DEMO-002,apu,35,37.547,synthetic-v1
DEMO-002,apu,36,37.811,synthetic-v1
DEMO-002,apu,37,37.95,synthetic-v1
DEMO-002,apu,38,38.019,synthetic-v1
DEMO-002,apu,39,38.105,synthetic-v1
DEMO-002,apu,40,38.29,synthetic-v1
DEMO-002,apu,41,38.605,synthetic-v1
DEMO-002,apu,42,39.02,synthetic-v1
DEMO-002,apu,43,39.457,synthetic-v1
DEMO-002,apu,44,39.825,synthetic-v1
DEMO-002,apu,45,40.069,synthetic-v1
DEMO-002,apu,46,40.193,synthetic-v1
DEMO-002,apu,47,40.258,synthetic-v1
DEMO-002,apu,48,40.355,synthetic-v1
DEMO-002,apu,49,40.559,synthetic-v1
DEMO-002,apu,50,40.893,synthetic-v1
DEMO-002,apu,51,41.317,synthetic-v1
DEMO-002,apu,52,41.748,synthetic-v1
DEMO-002,apu,53,42.1,synthetic-v1
DEMO-002,apu,54,42.324,synthetic-v1
DEMO-002,apu,55,42.434,synthetic-v1
DEMO-002,apu,56,42.499,synthetic-v1
DEMO-002,apu,57,42.608,synthetic-v1
DEMO-002,apu,58,42.831,synthetic-v1
DEMO-002,apu,59,43.183,synthetic-v1
DEMO-002,apu,60,43.614,synthetic-v1
DEMO-002,brakes,1,7.072,synthetic-v1
DEMO-002,brakes,2,7.052,synthetic-v1
DEMO-002,brakes,3,7.04,synthetic-v1
DEMO-002,brakes,4,7.068,synthetic-v1
DEMO-002,brakes,5,7.148,synthetic-v1
DEMO-002,brakes,6,7.267,synthetic-v1
DEMO-002,brakes,7,7.395,synthetic-v1
DEMO-002,brakes,8,7.495,synthetic-v1
DEMO-002,brakes,9,7.545,synthetic-v1
DEMO-002,brakes,10,7.548,synthetic-v1
DEMO-002,brakes,11,7.527,synthetic-v1
DEMO-002,brakes,12,7.519,synthetic-v1
DEMO-002,brakes,13,7.555,synthetic-v1
DEMO-002,brakes,14,7.642,synthetic-v1
DEMO-002,brakes,15,7.765,synthetic-v1
DEMO-002,brakes,16,7.89,synthetic-v1
DEMO-002,brakes,17,7.984,synthetic-v1
DEMO-002,brakes,18,8.026,synthetic-v1
DEMO-002,brakes,19,8.023,synthetic-v1
DEMO-002,brakes,20,8.002,synthetic-v1
DEMO-002,brakes,21,7.999,synthetic-v1
DEMO-002,brakes,22,8.042,synthetic-v1
DEMO-002,brakes,23,8.136,synthetic-v1
DEMO-002,brakes,24,8.262,synthetic-v1
DEMO-002,brakes,25,8.385,synthetic-v1
DEMO-002,brakes,26,8.472,synthetic-v1
DEMO-002,brakes,27,8.506,synthetic-v1
DEMO-002,brakes,28,8.498,synthetic-v1
DEMO-002,brakes,29,8.477,synthetic-v1
DEMO-002,brakes,30,8.48,synthetic-v1
DEMO-002,brakes,31,8.531,synthetic-v1
DEMO-002,brakes,32,8.632,synthetic-v1
DEMO-002,brakes,33,8.76,synthetic-v1
DEMO-002,brakes,34,8.879,synthetic-v1
DEMO-002,brakes,35,8.958,synthetic-v1
DEMO-002,brakes,36,8.985,synthetic-v1
DEMO-002,brakes,37,8.973,synthetic-v1
DEMO-002,brakes,38,8.953,synthetic-v1
DEMO-002,brakes,39,8.962,synthetic-v1
DEMO-002,brakes,40,9.021,synthetic-v1
DEMO-002,brakes,41,9.128,synthetic-v1
DEMO-002,brakes,42,9.257,synthetic-v1
DEMO-002,brakes,43,9.372,synthetic-v1
DEMO-002,brakes,44,9.443,synthetic-v1
DEMO-002,brakes,45,9.463,synthetic-v1
DEMO-002,brakes,46,9.447,synthetic-v1
DEMO-002,brakes,47,9.43,synthetic-v1
DEMO-002,brakes,48,9.446,synthetic-v1
DEMO-002,brakes,49,9.513,synthetic-v1
DEMO-002,brakes,50,9.625,synthetic-v1
DEMO-002,brakes,51,9.754,synthetic-v1
DEMO-002,brakes,52,9.864,synthetic-v1
DEMO-002,brakes,53,9.927,synthetic-v1
DEMO-002,brakes,54,9.94,synthetic-v1
DEMO-002,brakes,55,9.922,synthetic-v1
DEMO-002,brakes,56,9.908,synthetic-v1
DEMO-002,brakes,57,9.93,synthetic-v1
DEMO-002,brakes,58,10.005,synthetic-v1
DEMO-002,brakes,59,10.122,synthetic-v1
DEMO-002,brakes,60,10.25,synthetic-v1
DEMO-002,hydraulic,1,1.0,synthetic-v1
DEMO-002,hydraulic,2,1.0,synthetic-v1
DEMO-002,hydraulic,3,1.0,synthetic-v1
DEMO-002,hydraulic,4,1.0,synthetic-v1
DEMO-002,hydraulic,5,1.0,synthetic-v1
DEMO-002,hydraulic,6,1.0,synthetic-v1
DEMO-002,hydraulic,7,1.0,synthetic-v1
DEMO-002,hydraulic,8,1.0,synthetic-v1
DEMO-002,hydraulic,9,1.0,synthetic-v1
DEMO-002,hydraulic,10,1.0,synthetic-v1
DEMO-002,hydraulic,11,1.0,synthetic-v1
DEMO-002,hydraulic,12,1.0,synthetic-v1
DEMO-002,hydraulic,13,1.0,synthetic-v1
DEMO-002,hydraulic,14,1.0,synthetic-v1
DEMO-002,hydraulic,15,1.0,synthetic-v1
DEMO-002,hydraulic,16,1.0,synthetic-v1
DEMO-002,hydraulic,17,1.0,synthetic-v1
DEMO-002,hydraulic,18,1.0,synthetic-v1
DEMO-002,hydraulic,19,1.0,synthetic-v1
DEMO-002,hydraulic,20,1.0,synthetic-v1
DEMO-002,hydraulic,21,1.0,synthetic-v1
DEMO-002,hydraulic,22,1.047,synthetic-v1
DEMO-002,hydraulic,23,1.108,synthetic-v1
DEMO-002,hydraulic,24,1.165,synthetic-v1
DEMO-002,hydraulic,25,1.209,synthetic-v1
DEMO-002,hydraulic,26,1.235,synthetic-v1
DEMO-002,hydraulic,27,1.249,synthetic-v1
DEMO-002,hydraulic,28,1.261,synthetic-v1
DEMO-002,hydraulic,29,1.283,synthetic-v1
DEMO-002,hydraulic,30,1.322,synthetic-v1
DEMO-002,hydraulic,31,1.376,synthetic-v1
DEMO-002,hydraulic,32,1.437,synthetic-v1
DEMO-002,hydraulic,33,1.493,synthetic-v1
DEMO-002,hydraulic,34,1.534,synthetic-v1
DEMO-002,hydraulic,35,1.558,synthetic-v1
DEMO-002,hydraulic,36,1.571,synthetic-v1
DEMO-002,hydraulic,37,1.584,synthetic-v1
DEMO-002,hydraulic,38,1.608,synthetic-v1
DEMO-002,hydraulic,39,1.649,synthetic-v1
DEMO-002,hydraulic,40,1.705,synthetic-v1
DEMO-002,hydraulic,41,1.767,synthetic-v1
DEMO-002,hydraulic,42,1.821,synthetic-v1
DEMO-002,hydraulic,43,1.859,synthetic-v1
DEMO-002,hydraulic,44,1.881,synthetic-v1
DEMO-002,hydraulic,45,1.893,synthetic-v1
DEMO-002,hydraulic,46,1.907,synthetic-v1
DEMO-002,hydraulic,47,1.933,synthetic-v1
DEMO-002,hydraulic,48,1.977,synthetic-v1
DEMO-002,hydraulic,49,2.035,synthetic-v1
DEMO-002,hydraulic,50,2.096,synthetic-v1
DEMO-002,hydraulic,51,2.148,synthetic-v1
DEMO-002,hydraulic,52,2.184,synthetic-v1
DEMO-002,hydraulic,53,2.204,synthetic-v1
DEMO-002,hydraulic,54,2.215,synthetic-v1
DEMO-002,hydraulic,55,2.23,synthetic-v1
DEMO-002,hydraulic,56,2.259,synthetic-v1
DEMO-002,hydraulic,57,2.306,synthetic-v1
DEMO-002,hydraulic,58,2.365,synthetic-v1
DEMO-002,hydraulic,59,2.425,synthetic-v1
DEMO-002,hydraulic,60,2.475,synthetic-v1
DEMO-002,pack,1,2.802,synthetic-v1
DEMO-002,pack,2,2.824,synthetic-v1
DEMO-002,pack,3,2.889,synthetic-v1
DEMO-002,pack,4,2.99,synthetic-v1
DEMO-002,pack,5,3.104,synthetic-v1
DEMO-002,pack,6,3.2,synthetic-v1
DEMO-002,pack,7,3.257,synthetic-v1
DEMO-002,pack,8,3.272,synthetic-v1
DEMO-002,pack,9,3.263,synthetic-v1
DEMO-002,pack,10,3.259,synthetic-v1
DEMO-002,pack,11,3.287,synthetic-v1
DEMO-002,pack,12,3.358,synthetic-v1
DEMO-002,pack,13,3.463,synthetic-v1
DEMO-002,pack,14,3.576,synthetic-v1
DEMO-002,pack,15,3.667,synthetic-v1
DEMO-002,pack,16,3.718,synthetic-v1
DEMO-002,pack,17,3.728,synthetic-v1
DEMO-002,pack,18,3.717,synthetic-v1
DEMO-002,pack,19,3.716,synthetic-v1
DEMO-002,pack,20,3.75,synthetic-v1
DEMO-002,pack,21,3.828,synthetic-v1
DEMO-002,pack,22,3.936,synthetic-v1
DEMO-002,pack,23,4.048,synthetic-v1
DEMO-002,pack,24,4.134,synthetic-v1
DEMO-002,pack,25,4.177,synthetic-v1
DEMO-002,pack,26,4.182,synthetic-v1
DEMO-002,pack,27,4.171,synthetic-v1
DEMO-002,pack,28,4.174,synthetic-v1
DEMO-002,pack,29,4.215,synthetic-v1
DEMO-002,pack,30,4.298,synthetic-v1
DEMO-002,pack,31,4.409,synthetic-v1
DEMO-002,pack,32,4.519,synthetic-v1
DEMO-002,pack,33,4.599,synthetic-v1
DEMO-002,pack,34,4.636,synthetic-v1
DEMO-002,pack,35,4.637,synthetic-v1
DEMO-002,pack,36,4.626,synthetic-v1
DEMO-002,pack,37,4.633,synthetic-v1
DEMO-002,pack,38,4.681,synthetic-v1
DEMO-002,pack,39,4.77,synthetic-v1
DEMO-002,pack,40,4.882,synthetic-v1
DEMO-002,pack,41,4.989,synthetic-v1
DEMO-002,pack,42,5.063,synthetic-v1
DEMO-002,pack,43,5.094,synthetic-v1
DEMO-002,pack,44,5.091,synthetic-v1
DEMO-002,pack,45,5.081,synthetic-v1
DEMO-002,pack,46,5.094,synthetic-v1
DEMO-002,pack,47,5.147,synthetic-v1
DEMO-002,pack,48,5.241,synthetic-v1
DEMO-002,pack,49,5.355,synthetic-v1
DEMO-002,pack,50,5.458,synthetic-v1
DEMO-002,pack,51,5.526,synthetic-v1
DEMO-002,pack,52,5.551,synthetic-v1
DEMO-002,pack,53,5.545,synthetic-v1
DEMO-002,pack,54,5.537,synthetic-v1
DEMO-002,pack,55,5.554,synthetic-v1
DEMO-002,pack,56,5.615,synthetic-v1
DEMO-002,pack,57,5.714,synthetic-v1
DEMO-002,pack,58,5.828,synthetic-v1
DEMO-002,pack,59,5.927,synthetic-v1
DEMO-002,pack,60,5.988,synthetic-v1
DEMO-002,actuator,1,244.449,synthetic-v1
DEMO-002,actuator,2,247.651,synthetic-v1
DEMO-002,actuator,3,251.746,synthetic-v1
DEMO-002,actuator,4,256.02,synthetic-v1
DEMO-002,actuator,5,259.674,synthetic-v1
DEMO-002,actuator,6,262.206,synthetic-v1
DEMO-002,actuator,7,263.66,synthetic-v1
DEMO-002,actuator,8,264.599,synthetic-v1
DEMO-002,actuator,9,265.833,synthetic-v1
DEMO-002,actuator,10,268.033,synthetic-v1
DEMO-002,actuator,11,271.401,synthetic-v1
DEMO-002,actuator,12,275.575,synthetic-v1
DEMO-002,actuator,13,279.804,synthetic-v1
DEMO-002,actuator,14,283.309,synthetic-v1
DEMO-002,actuator,15,285.662,synthetic-v1
DEMO-002,actuator,16,286.993,synthetic-v1
DEMO-002,actuator,17,287.922,synthetic-v1
DEMO-002,actuator,18,289.268,synthetic-v1
